name,generation,avg acc,avg los,avg par
Error_par_scale_0.1,0,0.908,0.29404454,33665
Error_par_scale_0.1,1,0.913333333,0.285769866,33400
Error_par_scale_0.1,2,0.906333333,0.291899946,40290
Error_par_scale_0.1,3,0.903333333,0.302614499,29955
Error_par_scale_0.1,4,0.909333333,0.297908196,31810
Error_par_scale_0.1,5,0.911333333,0.287966892,34725
Error_par_scale_0.1,6,0.908,0.299200635,36580
Error_par_scale_0.1,7,0.912,0.303715015,34725
Error_par_scale_0.1,8,0.905,0.31121873,32870
Error_par_scale_0.1,9,0.907666667,0.303002971,44000
Error_par_scale_0.1,10,0.906,0.29456118,56720
Error_par_scale_0.1,11,0.908666667,0.280619286,65465
Error_par_scale_0.1,12,0.906666667,0.27764822,71560
Error_par_scale_0.1,13,0.911666667,0.288019813,60695
Error_par_scale_0.1,14,0.914333333,0.274075605,68910
Error_par_scale_0.1,15,0.911333333,0.281646024,58575
Error_par_scale_0.1,16,0.914,0.272533529,60430
Error_par_scale_0.1,17,0.913,0.268236591,73150
Error_par_scale_0.1,18,0.915333333,0.26090862,76330
Error_par_scale_0.1,19,0.916666667,0.256499277,87990
Error_par_scale_0.1,20,0.918666667,0.241812651,104155
Error_par_scale_0.1,21,0.92,0.254456323,108130
Error_par_scale_0.1,22,0.919,0.246914791,118730
Error_par_scale_0.1,23,0.922666667,0.236465579,134895
Error_par_scale_0.1,24,0.928666667,0.235049164,144700
Error_par_scale_0.1,25,0.926,0.224632051,160865
Error_par_scale_0.1,26,0.925666667,0.225795259,163515
Error_par_scale_0.1,27,0.926666667,0.216620459,180210
Error_par_scale_0.1,28,0.925666667,0.23061444,189485
Error_par_scale_0.1,29,0.931333333,0.214450482,189750
Error_par_scale_0.1,30,0.927,0.220294472,203000
Error_par_scale_0.1,31,0.931333333,0.207997412,251230
Error_par_scale_0.1,32,0.928333333,0.21992654,208300
Error_par_scale_0.1,33,0.931,0.206218328,246990
Error_par_scale_0.1,34,0.931666667,0.212285781,283030
Error_par_scale_0.1,35,0.933,0.210577569,309000
Error_par_scale_0.1,36,0.928666667,0.217964105,299990
Error_par_scale_0.1,37,0.928666667,0.209670943,338945
Error_par_scale_0.1,38,0.931,0.216734342,354845
Error_par_scale_0.1,39,0.931333333,0.205012207,364385
Error_par_scale_0.1,40,0.938,0.202018659,456340
Error_par_scale_0.1,41,0.932333333,0.209387371,411025
Error_par_scale_0.1,42,0.934666667,0.201412573,431430
Error_par_scale_0.1,43,0.936333333,0.198015837,440705
Error_par_scale_0.1,44,0.934666667,0.201023643,526300
Error_par_scale_0.1,45,0.938,0.192933011,522060
Error_par_scale_0.1,46,0.938,0.196604172,548030
Error_par_scale_0.1,47,0.942,0.196144283,691130
Error_par_scale_0.1,48,0.940666667,0.181086156,827340
Error_par_scale_0.1,49,0.937333333,0.193637791,729820
Error_par_scale_0.1,50,0.937666667,0.195053111,845360
Error_par_scale_0.1,51,0.942333333,0.184712388,979185
Error_par_scale_0.1,52,0.939,0.186888452,1209735
Error_par_scale_0.1,53,0.942666667,0.187944449,1089955
Error_par_scale_0.1,54,0.938333333,0.206697814,1153555
Error_par_scale_0.1,55,0.942333333,0.183934645,1202845
Error_par_scale_0.1,56,0.932666667,0.214022392,1236235
Error_par_scale_0.1,57,0.940333333,0.190572856,1381720
Error_par_scale_0.1,58,0.940666667,0.182340264,1311760
Error_par_scale_0.1,59,0.938333333,0.199646393,1201785
Error_par_scale_0.1,60,0.940333333,0.185644422,1621810
Error_par_scale_0.1,61,0.944,0.184209098,1396295
Error_par_scale_0.1,62,0.943666667,0.181879002,1430480
Error_par_scale_0.1,63,0.942,0.180447541,1405305
Error_par_scale_0.1,64,0.945333333,0.175485698,1458040
Error_par_scale_0.1,65,0.943333333,0.184913345,1312820
Error_par_scale_0.1,66,0.942,0.18660374,1488515
Error_par_scale_0.1,67,0.935666667,0.195735983,1204435
Error_par_scale_0.1,68,0.939333333,0.195117695,1372180
Error_par_scale_0.1,69,0.947333333,0.176747099,1819765
Error_par_scale_0.1,70,0.939,0.196226252,1883895
Error_par_scale_0.1,71,0.939333333,0.194167076,1654140
Error_par_scale_0.1,72,0.938,0.191718655,2306835
Error_par_scale_0.1,73,0.944333333,0.180446523,1712705
Error_par_scale_0.1,74,0.943,0.190642536,1986980
Error_par_scale_0.1,75,0.944333333,0.190941121,2628015
Error_par_scale_0.1,76,0.943666667,0.174700133,1955710
Error_par_scale_0.1,77,0.942666667,0.195549303,2233960
Error_par_scale_0.1,78,0.943666667,0.181092491,1953855
